x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,outcome
0.96,0.0,0.0,0.0,1.93,0.32,0.0,0.0,278,0.32,0.778,0.0,1
1.59,0.43,0.21,0.18,3.47,0.14,0.07,0.0,1028,0.14,0.3720000000000001,0.21,1
0.51,1.16,0.19,0.184,1.36,0.06,0.06,0.0,2259,1.23,0.276,0.38,1
0.31,0.0,0.31,0.0,3.18,0.31,0.0,0.0,191,0.63,0.13699999999999998,0.31,1
0.31,0.0,0.31,0.0,3.18,0.31,0.0,0.0,191,0.63,0.135,0.31,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,1.85,0.0,0.0,1
0.64,0.0,0.0,0.054000000000000006,3.85,0.96,0.0,0.0,112,1.92,0.16399999999999998,0.96,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1.88,0.0,0.0,1
2.0,0.0,0.3,0.203,1.23,0.0,0.0,0.0,1257,0.61,0.181,0.76,1
0.71,0.19,0.38,0.081,1.67,0.0,0.0,0.0,749,0.19,0.244,0.0,1
0.96,0.0,0.96,0.0,3.84,0.0,0.0,0.0,21,0.0,0.462,0.96,1
0.77,0.0,0.25,0.0,1.16,0.0,0.0,0.0,184,0.38,0.6629999999999999,0.12,1
1.04,0.0,0.0,0.0,2.09,0.34,0.0,0.0,261,0.34,0.7859999999999999,0.0,1
0.9,0.0,0.9,0.0,2.72,0.0,0.0,0.0,25,0.9,0.0,0.9,1
2.85,0.35,0.0,0.0,3.21,5.35,0.0,0.0,205,0.71,0.35700000000000004,0.0,1
1.27,0.0,0.42,0.063,1.7,1.27,0.0,0.0,249,1.27,0.5720000000000001,0.0,1
2.83,0.0,0.0,0.0,1.88,0.0,0.0,0.0,107,0.94,0.428,0.0,1
2.11,0.7,0.0,0.37,0.0,0.0,0.0,0.0,461,0.0,1.975,0.0,1
0.92,0.0,0.18,0.0,3.15,0.0,0.37,0.0,70,1.11,0.455,0.0,1
1.91,0.31,0.0,0.496,2.22,0.63,0.31,0.0,186,1.59,0.055,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.7290000000000001,0.0,1
1.57,0.05,0.15,0.046,2.09,0.0,0.02,0.0,2259,0.76,0.25,0.1,1
0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,34,2.94,0.809,0.0,1
1.75,0.0,0.0,0.0,1.16,1.16,0.0,0.0,69,1.16,0.667,0.0,1
0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,82,0.0,0.392,0.0,1
1.57,0.05,0.15,0.046,2.09,0.0,0.02,0.0,2258,0.76,0.25,0.1,1
0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,82,0.0,0.392,0.0,1
0.0,0.0,1.66,0.0,3.33,0.0,0.0,0.0,47,0.0,0.368,0.0,1
0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,36,0.0,0.35200000000000004,0.0,1
1.3,0.0,0.65,0.0,1.3,0.65,1.3,0.0,129,0.65,0.091,0.65,1
0.0,0.0,0.0,0.0,3.52,0.0,1.17,0.0,59,0.0,0.8859999999999999,0.0,1
0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,43,0.0,2.112,0.0,1
2.7,0.0,0.0,0.091,3.51,0.27,0.0,0.0,89,1.89,0.0,0.0,1
0.0,0.0,0.0,0.302,4.83,0.0,0.0,0.0,17,0.0,0.0,0.0,1
0.68,0.0,0.0,0.0,2.04,0.0,0.0,0.68,264,0.0,0.0,1.36,1
0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,25,0.0,1.543,0.0,1
0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,29,2.94,0.873,0.0,1
2.43,0.48,0.48,0.244,2.43,0.48,0.97,0.0,239,1.46,0.488,0.0,1
0.97,0.0,0.0,0.0,1.46,0.48,0.0,0.0,186,0.48,0.963,0.0,1
1.25,0.0,0.0,0.0,2.08,0.41,0.0,0.0,285,0.41,0.75,0.0,1
0.61,0.3,0.0,0.207,2.76,0.0,0.0,0.0,226,0.61,0.207,0.0,1
0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,28,2.94,0.6709999999999999,0.0,1
0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,28,2.94,0.711,0.0,1
0.92,0.0,0.18,0.0,3.15,0.0,0.37,0.0,68,1.11,0.426,0.0,1
0.26,0.0,0.26,0.036000000000000004,1.82,0.26,1.56,0.0,339,0.52,0.813,0.26,1
1.51,0.0,0.0,0.068,4.07,0.0,0.0,0.0,774,0.45,1.318,0.0,1
1.09,0.84,0.06,0.16699999999999998,4.54,0.0,0.72,0.0,442,1.57,0.01,0.06,1
1.99,0.49,0.0,0.0,3.48,4.97,0.99,0.0,94,0.0,0.17,0.99,1
1.46,1.05,0.05,0.7559999999999999,3.22,0.25,0.43,0.0,3040,0.05,0.325,0.25,1
0.66,0.19,0.06,0.23,3.51,0.26,0.0,0.0,898,0.0,0.278,0.39,1
3.84,0.0,0.0,0.0,1.92,0.0,0.0,0.0,33,1.92,0.0,0.0,1
2.19,1.83,0.73,0.332,2.19,1.09,0.36,0.0,179,0.0,0.498,0.0,1
0.7,0.19,0.38,0.071,1.67,0.0,0.0,0.0,750,0.19,0.244,0.0,1
1.26,0.0,0.0,0.596,0.0,0.0,0.0,0.0,69,0.0,0.198,0.0,1
2.2,1.83,0.73,0.333,2.2,1.1,0.36,0.0,176,0.0,0.5,0.0,1
2.17,0.0,0.0,0.0,1.08,1.08,0.0,0.0,106,0.0,1.4780000000000002,0.0,1
2.09,0.0,1.04,0.061,3.66,0.0,1.04,0.0,146,0.0,0.615,0.0,1
5.06,0.0,0.0,0.0,2.53,0.0,0.0,0.0,51,0.0,0.0,0.0,1
1.36,0.0,0.0,0.0,1.36,0.45,0.0,0.0,200,0.45,1.501,0.0,1
1.68,0.0,0.0,0.0,2.1,0.42,0.0,0.0,284,0.42,0.669,0.0,1
0.0,0.0,0.59,0.0,1.77,0.0,0.0,0.0,249,0.0,0.0,0.0,1
1.89,0.0,0.0,0.0,7.1,0.23,0.23,0.0,66,0.23,0.175,0.0,1
0.46,0.0,0.93,0.0,0.93,1.39,0.0,0.0,75,1.39,0.0,0.46,1
2.73,0.0,0.68,0.048,3.42,0.34,0.0,0.34,96,0.68,0.048,0.34,1
3.01,0.12,0.0,0.019,4.1,0.0,0.0,0.0,180,1.32,0.019,0.36,1
1.32,0.0,0.0,0.0,1.32,1.98,1.32,0.0,121,0.0,2.205,0.0,1
1.95,0.0,0.48,0.294,0.97,0.48,0.0,0.0,194,1.46,0.589,0.48,1
1.47,0.0,1.47,0.0,5.88,0.0,0.0,0.0,17,0.0,0.5,0.0,1
1.23,0.0,0.0,0.35100000000000003,5.53,2.15,0.61,0.0,303,0.0,1.053,0.3,1
0.0,1.96,0.0,0.1,0.0,0.0,0.0,0.0,141,0.0,0.0,0.0,1
3.79,0.0,2.53,0.0,2.53,0.0,5.06,0.0,290,1.26,0.537,1.26,1
1.06,0.0,0.0,0.0,1.6,0.53,0.0,0.0,187,0.53,0.877,0.0,1
1.34,0.0,0.0,0.0,2.24,0.44,0.0,0.0,281,0.44,0.807,0.0,1
1.38,0.46,0.46,0.223,2.76,0.92,0.0,0.0,110,0.46,0.298,0.46,1
2.41,0.48,0.48,0.243,2.41,0.48,0.96,0.0,236,1.44,0.486,0.0,1
0.94,1.88,0.0,0.0,0.94,2.83,0.0,0.0,318,0.0,1.366,0.0,1
1.18,0.0,0.0,0.08199999999999999,4.14,0.0,0.0,0.0,100,0.0,0.165,0.0,1
1.26,0.44,0.0,0.234,2.96,0.37,0.44,0.0,1066,0.18,0.4370000000000001,0.25,1
0.62,0.62,0.2,0.0,2.09,0.83,0.2,0.0,175,1.67,0.132,0.2,1
0.0,0.0,0.0,0.338,5.26,0.0,0.0,0.0,10,0.0,0.0,0.0,1
1.11,0.0,0.0,0.0,5.55,0.0,0.0,0.0,114,0.0,1.431,0.0,1
1.9,0.0,0.23,0.0,2.38,0.23,0.95,0.0,519,0.0,0.197,0.0,1
0.0,0.72,0.0,0.0,1.45,2.91,0.0,0.0,61,0.0,0.495,0.72,1
1.28,1.28,0.0,0.0,2.56,1.28,0.0,0.0,43,1.28,0.7240000000000001,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,0.0,0.8340000000000001,0.0,1
1.4,0.0,0.46,0.214,0.93,1.86,0.0,0.0,213,1.4,0.5710000000000001,0.46,1
2.3,0.0,0.0,0.061,2.69,0.38,0.0,0.0,158,1.15,0.061,0.0,1
1.58,0.0,0.0,0.0,3.96,0.79,1.58,0.0,107,0.0,0.268,0.0,1
1.21,0.0,0.0,0.085,1.14,0.2,0.0,0.0,845,0.4,0.096,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,1
1.68,0.0,1.12,0.333,3.93,0.56,2.8,0.0,194,2.24,1.083,0.0,1
1.5,1.05,0.05,0.764,3.25,0.26,0.44,0.0,3038,0.05,0.322,0.26,1
1.53,0.59,0.03,0.532,3.43,0.22,0.44,0.0,2453,0.14,0.613,0.29,1
1.53,0.59,0.03,0.531,3.43,0.22,0.44,0.0,2453,0.14,0.612,0.29,1
2.31,1.38,0.0,0.823,2.77,0.0,0.46,0.0,102,0.0,0.08199999999999999,0.0,1
0.0,0.46,0.46,0.0,1.87,0.0,0.0,0.0,91,0.0,0.0,0.46,1
1.4,0.0,0.0,0.0,2.11,1.05,0.0,0.0,313,0.35,1.284,0.0,1
0.86,0.0,0.0,0.0,1.29,0.43,0.0,0.0,222,0.43,0.736,0.0,1
0.0,0.6,0.0,0.0,1.21,0.6,0.0,0.0,191,0.0,0.31,0.0,1
1.24,0.0,0.0,0.527,3.73,0.41,0.0,0.0,114,0.0,0.461,0.0,1
1.41,0.0,0.7,0.0,4.96,2.83,0.0,0.0,30,4.25,0.38,0.0,1
0.0,0.64,0.0,0.0,2.59,0.64,0.0,0.0,292,0.0,0.662,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,1.529,0.0,1
0.0,0.64,0.0,0.0,2.59,0.64,0.0,0.0,292,0.0,0.662,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,1.529,0.0,1
0.0,0.64,0.0,0.0,2.59,0.64,0.0,0.0,292,0.0,0.662,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,1.529,0.0,1
0.0,0.79,0.0,0.0,1.58,0.79,0.0,0.0,168,0.0,0.462,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,1.529,0.0,1
1.96,0.0,1.96,0.0,3.92,0.0,0.0,0.0,74,0.0,0.0,0.0,1
0.0,0.0,2.46,0.0,0.0,2.46,0.0,0.0,36,0.0,1.907,0.0,1
0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,67,0.0,0.0,0.0,1
0.76,0.0,0.76,0.177,1.52,0.0,0.0,0.0,211,0.38,0.0,0.0,1
0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,78,0.95,0.0,0.0,1
